gps_point;street;postal_code
43.44813198,3.749580097;Château de la Peyrade;34110
43.537982509,3.45846446;43 rue des lavandes;34230
43.492281954,3.438155894;Mairie, Rue de la Mairie;34120
43.829215492,3.95070599;Route de Brestalou;34270
43.41211123,3.231379;14 RUE DES PEYRALLES;34290
43.931944327,4.20576036;31 Route De St Bauzely;30190
43.989412540000004,4.076377392;33 ROUTE DES VIGNERONS;30350
42.988267242,1.284044986;2 place du 8 mai;09420
42.715136713,2.846241691;"ZI La Mirande - 6 avenue de l&#39;aerodrome";66240
43.046378946,2.179156685;Domaine J.LAURENS;11300
43.429168764,3.578401617;"MAS SAINT LAURENT
HAMEAU DE MONTMEZE";34140
43.877095689,4.554271156;5 chemin des près;30840
42.683900311,3.010904692;5 Impasse de l'HORT;66140
42.767942954,2.707112915;2 boulevard Jean Jaurès;66310
43.844657847,4.3475910110000004;8 Rue enclos rey;30000
42.709359491,2.508987116;12 chemin des romarins;66130
44.156907773,1.543699696;18 BD GRANIÉ;82300
43.775515905,4.082501166;1990, ROUTE D'AUBAIS;30250
43.657805591,4.407426996;1 Route De Montpellier D.197;30800
43.650409014,3.5035213880000002;Hameau de Cambous;34725
43.813777601,0.549645917;www.vin-gascogne-3domaines.com;32390
42.891101775,0.436817893;Hameau de Ys;65240
43.165034031,3.020200005;"ROUTE DE GRUISSAN
CHEMIN DE LA COULEUVRE";11100
42.738721892,2.521748745;01 RUE DES TROENES;66220
42.748102148,2.756149788;CHEMIN DE MONTNER;66600
43.807058464,4.039019771;Cellier du mas Montel - 2, chemin du Mas Montel;30250
44.050761101,3.9743430699999998;1820 ROUTE DE SAINT JEAN DU GARD;30140
43.566769432,3.5053351150000003;193 Route de Plaissan;34230
42.728302583,2.9417425340000003;199 chemin de Charlemagne;66430
43.125671629,2.705226326;26 rue Sainte Elisabeth;11200
44.552035798,3.676554379;Lieu dit le mazas;48190
43.382209463,2.911374465;2 Avenue d'Agel;34360
43.474649421,3.510060528;Domaine Nicole Route De Villeveyrac D5;34530
42.637652625,2.483930933;Lieu Dit la degoude;66320
43.105348897,2.807191301;CHATEAU OLLIEUX ROMANIS;11200
43.307330447,2.8299129130000003;Château Landure;11120
43.61335437,3.8692640540000003;1 rue marie Muller;34070
43.465443792,1.996737712;6 avenue de la pomme;31250
43.123521232,1.615608034;lieu dit La Grausse;09100
42.637486625,2.872869187;9, rue du Figuier;66450
43.273886088,2.6567986340000003;4 avenue du Minervois;11700
43.769683846,3.870115659;"18 rue de L&#39;aire de Lancyre";34270
43.53413424,3.772142567;2 rue du pont neuf;34690
43.437853418,3.208170456;9 Place de la Mairie;34480
43.892438858,0.7612714140000001;chemin du hournas;32380
43.769683846,3.870115659;111 chemin de la vieille;34270
43.751036833,3.432676929;chemin de la bruyère des salces;34700
43.637724723,3.912419233;7 avenue de la Galine;34170
44.125248892,3.938116548;197 chemin aubignac;30140
43.671856649,4.203894749;"LA JASSE D ISNARD
D-288";30470
43.329764253,2.871298132;La Grange de Cathala;11120
43.661952364,3.8865815340000003;36 RUE DE LAVALETTE;34830
44.081453454,1.44893286;1936 route de COS;82350
42.576135542,2.322534413;46 Route Nationale;66360
43.857252813,3.876855727;Chemin de farjou;34270
42.70207511,1.443094286;106 Rue du montcalm;09220
43.474649421,3.510060528;domaine de Campaucels;34530
43.509262413,3.513510724;Domaine de Montmau;34230
43.454424304,3.040666458;15 RUE DE LA SAVONNERIE 34460 CESSENON SUR ORB;34460
44.197410121,4.2536344249999996;les vielles fumades;30500
43.321894366,3.048051142;RD 39 ROUTE DE MAUREILHAN;34310
43.202169339,1.001758046;ZA LES LANES;31220
43.337696165,2.633094762;Chateau Sainte Eulalie;34210
43.634176826,3.412911953;Avenue du lac;34800
43.125671629,2.705226326;5 Rue Des Coopératives;11200
43.059804994,0.47884050800000005;14, Chemin du Marcadau;65150
43.911501531,4.085133442;Mas Costeplane;30260
43.367441052,2.787196738;4 RUE DE LA POTERIE;34210
43.103602213,3.081876506;Route de l'Ayrolle;11430
43.107731501,2.237780649;Château Rives-Blanques;11300
43.724450775,2.321799848;46 grand rue;81360
44.260866136,3.984114304;Les Ponchets;30110
