product_id;category_id
933;8
8890;8
8588;8
8587;8
11327;8
8585;8
8584;8
6250;8
8583;8
116;8
11321;8
11319;8
11318;8
11317;8
11316;8
11315;8
11314;8
11313;8
11312;8
11311;8
11310;8
11309;8
11308;8
11307;8
11306;8
11305;8
11304;8
9056;8
8578;8
8577;8
7836;8
7019;8
711;8
7022;8
2;8
11281;8
3287;8
7172;8
11275;8
2721;8
8570;8
11265;8
11264;8
6259;8
11262;8
7245;8
6260;8
8566;8
8565;8
7023;8
2887;8
7134;8
538;8
6270;8
727;8
3275;8
3841;8
3269;8
11239;8
8556;8
734;8
3773;8
123;8
11231;8
3636;8
3635;8
3634;8
3260;8
3259;8
3633;8
743;8
744;8
7024;8
8774;8
3772;8
11771;8
747;8
748;8
8550;8
87;8
7025;8
11205;8
11204;8
11203;8
8773;8
7026;8
187;8
11197;8
3251;8
6293;8
7027;8
6294;8
2789;8
11174;8
11173;8
764;8
3621;8
3620;8
3619;8
770;8
11600;8
190;8
773;8
8769;8
7028;8
7029;8
7030;8
11152;8
7031;8
7032;8
776;8
7033;8
7034;8
7777;8
3839;8
192;8
7035;8
393;8
7036;8
8535;8
7267;8
3202;8
193;8
11132;8
11131;8
3604;8
7867;8
3201;8
7037;8
7038;8
398;8
7886;8
7039;8
791;8
401;8
3190;8
11100;8
11098;8
11097;8
8522;8
11093;8
8762;8
11084;8
802;8
3178;8
803;8
804;8
407;8
3592;8
3175;8
3591;8
807;8
6307;8
8761;8
8760;8
7907;8
11587;8
3167;8
11586;8
7916;8
7924;8
8759;8
11058;8
3590;8
6311;8
6316;8
7927;8
8756;8
8755;8
3583;8
827;8
8754;8
7280;8
3582;8
3581;8
11033;8
838;8
8753;8
8752;8
8751;8
3579;8
7291;8
8749;8
8748;8
8747;8
8746;8
7057;8
851;8
3123;8
8745;8
7969;8
10569;8
10568;8
10567;8
7063;8
8744;8
7538;8
8743;8
8742;8
7540;8
7541;8
3577;8
7544;8
8741;8
861;8
862;8
7545;8
3576;8
435;8
107;8
10532;8
7546;8
10530;8
866;8
867;8
868;8
869;8
870;8
7548;8
7549;8
871;8
872;8
7567;8
873;8
7569;8
7574;8
874;8
3575;8
876;8
877;8
878;8
879;8
63;8
881;8
7601;8
8737;8
8736;8
3574;8
62;8
118;8
8733;8
7075;8
124;8
219;8
7638;8
7078;8
7639;8
11653;8
3573;8
7086;8
10460;8
3572;8
3571;8
7654;8
11578;8
11577;8
7655;8
8896;8
10439;8
10438;8
8895;8
904;8
8893;8
6373;8
127;8
909;8
549;8
8713;8
3569;8
3568;8
3567;8
7663;8
3566;8
3565;8
24;8
8892;8
10413;8
11574;8
8891;8
11573;8
26;8
10397;8
6374;8
10395;8
10394;8
10392;8
10391;8
7714;8
10387;8
3564;8
10386;8
552;8
10384;8
10383;8
10382;8
8453;8
3563;8
10376;8
3562;8
3561;8
3560;8
3559;8
3558;8
938;8
6174;8
3557;8
6375;8
8702;8
11647;8
8889;8
6376;8
3556;8
3555;8
11554;8
3554;8
3553;8
3552;8
3550;8
962;8
3538;8
8434;8
3537;8
11539;8
3530;8
3526;8
8687;8
8686;8
6377;8
2834;8
3517;8
3516;8
6379;8
8682;8
8422;8
6393;8
3515;8
3510;8
242;8
8681;8
497;8
2831;8
2769;8
8057;8
6424;8
246;8
6425;8
1008;8
1009;8
3506;8
1012;8
6428;8
2768;8
8668;8
3827;8
258;8
6429;8
260;8
7778;8
8067;8
8858;8
3498;8
11644;8
3748;8
1044;8
1045;8
8190;8
8069;8
6436;8
3489;8
3487;8
2684;8
8944;8
3747;8
8653;8
606;8
6208;8
1071;8
3461;8
3455;8
8070;8
3454;8
11728;8
11788;8
3450;8
